演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
1203,1001,树林背景,0,0,0,0,0,调查员,你是人类？你怎么会在这里？,1002,0,0
1203,1002,0,0,0,0,0,0,？？？,你...你是谁...,1003,0,0
1203,1003,0,0,0,0,0,0,调查员,我是相关部门针对怪谈空间的调查员，你是谁？,1004,0,0
1203,1004,0,克鲁格,2,0,0,0,克鲁格,我，我也是调查员....我没听说过还有调查员进来....而且我看不清你的脸...,1005,0,0
1203,1005,0,0,0,0,0,0,调查员,看不清脸？你是不是出现幻觉了？,1006,0,0
1203,1006,0,0,0,0,0,0,克鲁格,不.....我也是古神的信徒，你给我一种...祂们的感觉。,1007,0,0
1203,1007,0,0,0,0,0,0,克鲁格,你也应该是某位的信徒吧，自从天平计划开始以来，我第一次遇到你怎么强大的信徒。,2001,0,0
1203,2001,0,0,0,0,0,0,0,天平计划？,1008,0,0
1203,3001,0,0,0,0,0,0,0,0,-1,0,0
1203,1008,0,0,0,0,0,0,克鲁格,怎么，你不知道吗？引入古神的力量制衡外神和旧日支配者，用古神力量对抗怪谈空间扩张。,1009,0,0
1203,1009,0,0,0,0,0,0,克鲁格,这就是一个极其危险的计划，完全就是驱虎吞狼。,1010,0,0
1203,1010,0,0,0,0,0,0,克鲁格,但是....但是....神明不见了，所有神明信仰者都和神明失去联系了。,1011,0,0
1203,1011,0,0,0,0,0,0,克鲁格,神明大规模的死了，所有的信仰者也越来越虚弱。,1012,0,0
1203,1012,0,0,0,0,0,0,克鲁格,我也感觉自己越来越不对劲了，乘着还能动来这个地方探索一下。,2002,0,0
1203,2002,0,0,0,0,0,0,0,我带你出去。,1013,0,0
1203,3002,0,0,0,0,0,0,0,0,-1,0,0
1203,1013,0,0,0,0,0,0,克鲁格,不，我出不去了，孩子，我从信仰古神的时候就没想着活下去。,1014,0,0
1203,1014,0,0,0,0,0,0,克鲁格,这个世界上总有人要去直面哪些东西，我有这个心理准备。,1015,0,0
1203,1015,0,0,0,0,0,0,克鲁格,求你，求你把这个带出去，我...我已经看不到东西了。,1016,0,0
1203,1016,0,0,0,0,0,0,克鲁格,还有，告诉我的妻子，我@#***%.....,1017,0,0
1203,1017,0,0,0,克鲁格,0,0,0,他口中传出意义不明的音节，挣扎着从口袋里拿出一张纸。,1018,0,0
1203,1018,0,0,0,0,0,0,0,纸上是一团闪动的乱码，文字像是活过来一样在纸上扭曲，完全看不懂上面写了什么。,1019,0,0
1203,1019,0,0,0,0,0,0,0,一抬头，克鲁格彻底没了生机，变成一片灰消散了。,-1,0,0
