演出id,IF,count,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string),赋值,GOTO 
1207,0,0,1001,树林背景,0,0,0,0,0,0,格赫罗斯伤痕累累的用剑支撑着身体，连人形态模仿都快做不到了。,1002,0,0,0,0
1207,0,0,1002,0,格赫罗斯,2,0,0,格赫罗斯（生气）,格赫罗斯,@#￥%……&**&……%￥#￥%……&*,1003,0,0,0,0
1207,0,0,1003,0,0,0,0,0,0,格赫罗斯,不可能，不可能，你一个人类，怎么能做到这一步...,1004,0,0,0,0
1207,0,0,1004,0,0,0,0,0,0,格赫罗斯,我知道了，我知道了！,1005,0,0,0,0
1207,0,0,1005,0,0,0,0,0,0,格赫罗斯,奈亚拉托提普！犹格索托斯！纱布尼古拉斯！我知道你们的分身在这里，给我出来！,1006,0,0,0,0
1207,0,0,1006,0,0,0,格赫罗斯,0,0,0,0,1007,0,0,0,0
1207,0,0,1007,0,奈亚拉托提普,2,0,0,0,奈亚拉托提普,别把人家的名字叫出来嘛，这还有人呢。,1008,0,0,0,0
1207,0,0,1008,0,0,0,奈亚拉托提普,0,0,0,0,1009,0,0,0,0
1207,0,0,1009,0,犹格索托斯,2,0,0,0,犹格索托斯,我们只是在旁边看着，我们可什么都没做。,1010,0,0,0,0
1207,0,0,1010,0,0,0,犹格索托斯,0,0,0,0,1011,0,0,0,0
1207,0,0,1011,0,纱布尼古拉斯,2,0,0,0,纱布尼古拉斯,哎呀哎呀，这不是小格赫罗斯吗，怎么被打的这么惨啊？,2001,0,0,0,0
1207,0,0,2001,0,0,0,0,0,0,0,你们不是奈亚拉他们？,1012,0,0,0,0
1207,0,0,3001,0,0,0,0,0,0,0,0,-1,0,0,0,0
1207,0,0,1012,0,0,0,纱布尼古拉斯,0,0,0,0,1013,0,0,0,0
1207,0,0,1013,0,奈亚拉托提普,2,0,0,0,奈亚拉托提普,当然不是傻孩子，不过接下来你就不要参和了。,1014,0,0,0,0
1207,0,0,1014,0,0,0,0,0,0,奈亚拉托提普,格赫罗斯，这次是我们赢了，你看看你的分身，你还能做什么？,1015,0,0,0,0
1207,0,0,1015,0,0,0,0,0,0,奈亚拉托提普,原本我们只是想试试，没想到你真的连人类都打不过。,1016,0,0,0,0
1207,0,0,1016,0,0,0,奈亚拉托提普,0,0,0,0,1017,0,0,0,0
1207,0,0,1017,0,犹格索托斯,2,0,0,0,犹格索托斯,纠正，这并不是普通的人类，已经初步具备低级古神的魔音形式。,1018,0,0,0,0
1207,0,0,1018,0,0,0,犹格索托斯,0,0,0,0,1019,0,0,0,0
1207,0,0,1019,0,纱布尼古拉斯,2,0,0,0,纱布尼古拉斯,确实，能在听到我们名字的时候都完好无损，他的生命形式已经根本性的变化了。,1020,0,0,0,0
1207,0,0,1020,0,0,0,纱布尼古拉斯,0,0,0,0,1021,0,0,0,0
1207,0,0,1021,0,奈亚拉托提普,2,0,0,0,奈亚拉托提普,切，你们这两个家伙总是喜欢驳我面子。,1022,0,0,0,0
1207,0,0,1022,0,0,0,0,0,0,奈亚拉托提普,不过不重要了，格赫罗斯，不管你在盘算什么，和你的计划说再见吧。,1023,0,0,0,0
1207,0,0,1023,0,0,0,奈亚拉托提普,0,0,0,0,1024,0,0,0,0
1207,0,0,1024,0,格赫罗斯,2,0,0,0,格赫罗斯,呵......呵呵.....这可不一定........,1025,0,0,0,0
1207,0,0,1025,阿撒托斯雕像,0,0,格赫罗斯,0,0,0,地面突然开始颤动，在云雾之中一尊邪异的雕像露了出来。,1026,0,0,0,0
1207,0,0,1026,0,犹格索托斯,2,0,0,0,犹格索托斯,竟然是阿撒托斯大人的一缕意识体，果然这片怪谈空间有不得了的东西。,1027,0,0,0,0
1207,0,0,1027,0,0,0,犹格索托斯,0,0,0,0,1028,0,0,0,0
1207,0,0,1028,0,纱布尼古拉斯,2,0,0,0,纱布尼古拉斯,等等，为什么这里会有这么危险的东西？,1029,0,0,0,0
1207,0,0,1029,0,0,0,0,0,0,纱布尼古拉斯,祂想要用意识体唤醒阿撒托斯大人，你疯了吗，你想让整个世界都湮灭！？,1030,0,0,0,0
1207,0,0,1030,0,0,0,纱布尼古拉斯,0,0,0,0,1031,0,0,0,0
1207,0,0,1031,0,格赫罗斯,2,0,0,0,格赫罗斯,阿撒托斯大人就应该醒来，而不是让你们这群伪神在祂的梦里为所欲为！,1032,0,0,0,0
1207,0,0,1032,0,0,0,0,0,0,格赫罗斯,伟大的盲目与痴愚之神阿撒托斯，您苏醒的力量呼唤您遵从意志@#￥%……&**&……%￥#,1033,0,0,0,0
1207,0,0,1033,0,0,0,格赫罗斯,0,0,0,0,1034,0,0,0,0
1207,0,0,1034,0,奈亚拉托提普,2,0,0,0,奈亚拉托提普,快阻止祂！祂想同归于尽。,1035,0,0,0,0
