演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
1101,1001,黑中白,0,0,0,0,0,0,进入公寓的一刻，你感觉多了一段不属于自己的记忆。,1002,0,0
1101,1002,0,0,0,0,0,0,0,你的身体动了起来，像是多了一个灵魂，你开口喊道.....,1003,0,0
1101,1003,走廊,妇人,2,0,0,0,妇人,小玛丽，回家吃饭了！,1004,0,0
1101,1004,0,0,0,妇人,0,0,0,没有人回答.......,1005,0,0
1101,1005,0,妇人,2,0,0,0,妇人,玛丽！今天玩的时间够久了！,1006,0,0
1101,1006,0,0,0,妇人,0,0,0,还是没有人回答........,1007,0,0
1101,1007,0,妇人,2,0,1,0,妇人,玛丽·格里芬，你最好现在就回来！,1008,0,0
1101,1008,0,0,0,妇人,0,0,0,妇人的语气又加重了几分，但是依旧没有人回答。,1009,0,0
1101,1009,0,妇人,2,0,0,0,妇人,奇怪，今天怎么回事？,1010,0,0
1101,1010,0,0,0,0,0,0,妇人,怎么停电了？得赶紧把玛丽找回来。,-1,0,0
