演出id,IF,count,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string),赋值,GOTO 
2101,0,0,1001,山洞背景,0,0,0,0,0,0,前方出现了一段幻影，就像是全息投影。,1002,0,0,0,0
2101,0,0,1002,0,C,1,0,1,0,C,呜呜呜，怎么办，出去的洞口塌了，我们要被困死在这里了......,1003,0,0,0,0
2101,0,0,1003,0,E,2,C,0,0,E,小C你看，我当初都和你说了，这个季节非常容易发生山体滑坡。,1004,0,0,0,0
2101,0,0,1004,0,0,0,0,0,0,E,现在好了，我们都为了陪你出来玩，结果被困在这了。 ,1005,0,0,0,0
2101,0,0,1005,0,D,3,E,0,0,D,好了好了，又不是什么天大的事情，这种溶洞不止一个出口。,1006,0,0,0,0
2101,0,0,1006,0,D,2,0,0,0,D,只要能出去就能找到回去的路，我们带的食物可不少。,1007,0,0,0,0
2101,0,0,1007,0,0,0,D,0,0,0,0,1008,0,0,0,0
2101,0,0,1008,0,B,2,0,0,0,B,是啊小C别哭了，这个地方我也熟悉，只要跟着这个暗河走就能找到出口。,1009,0,0,0,0
2101,0,0,1009,0,0,0,B,0,0,0,0,1010,0,0,0,0
2101,0,0,1010,0,A,2,0,0,0,A,等等，你们有没有听到一种奇怪的声音，好像是老鼠的叫声？,1011,0,0,0,0
2101,0,0,1011,0,0,0,A,0,0,0,0,1012,0,0,0,0
2101,0,0,1012,0,C,1,0,0,0,C,什....什么，山洞里不会有蝙蝠吧？,1013,0,0,0,0
2101,0,0,1013,0,E,3,0,0,0,E,胖子你在说什么？这里除了暗河流水的声音以外哪还有声音。,1014,0,0,0,0
2101,0,0,1014,0,0,0,E,0,0,0,0,1015,0,0,0,0
2101,0,0,1015,0,D,3,0,0,0,D,是啊，我也什么都没有听到。,1016,0,0,0,0
2101,0,0,1016,0,0,0,D,0,0,0,0,1017,0,0,0,0
2101,0,0,1017,0,B,2,0,0,0,B,小D是不是你太紧张了，别害怕，我们可以走出去的。,1018,0,0,0,0
2101,0,0,1018,0,0,0,C,0,0,0,0,1019,0,0,0,0
2101,0,0,1019,0,0,0,B,0,0,0,0,1020,0,0,0,0
2101,0,0,1020,0,A,2,0,0,0,A,啊....好吧，那应该是我听错了......,1021,0,0,0,0
2101,0,0,1021,0,0,0,A,0,0,0,影像消失，他们走向洞穴的深处消失不见。,-1,0,0,0,0
