演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
2204,1001,城镇背景,0,0,0,0,0,0,前方一群人聚集在一起高谈阔论，看起来非常热闹。,1002,吵闹人群,吵闹人群
2204,1002,0,信仰派居民甲,1,0,0,0,信仰派居民甲,山脉之主啊，请原谅我们的粗鲁，赐予我们生活的空间.......,1003,0,0
2204,1003,0,0,0,0,0,0,信仰派居民甲,感谢您赐予我们这方安宁的土地，让我们能在您的护佑下繁衍生息。,1004,0,0
2204,1004,0,信仰派居民乙,3,0,0,0,信仰派居民乙,每一片山林，每一条溪流，都是您慷慨的馈赠，滋养着我们的身心。,1005,0,0
2204,1005,0,0,0,0,0,0,信仰派居民乙,我们将保卫您的身躯，捍卫您的尊严，让那些异教徒付出代价.....,2001,0,0
2204,2001,0,0,0,0,0,0,0,你们在讨论什么？,1006,0,0
2204,3001,0,0,0,0,0,0,0,0,-1,0,0
2204,1006,0,0,0,0,0,0,信仰派居民甲,我们在对伟大的山脉之主祷告，祈求他的宽恕和原谅。,1007,0,0
2204,1007,0,0,0,0,0,0,信仰派居民甲,山脉之主本就是居住在这里的良善之神，无耻的人类抢夺了祂的土地，在祂背上建立城市。,1008,0,0
2204,1008,0,0,0,0,0,0,信仰派居民乙,如今，至高无上的山脉之主即将回归祂忠诚的城市。,1009,0,0
2204,1009,0,0,0,0,0,0,信仰派居民乙,我们这些忠于祂的信徒才能最终得到救赎和升华，到达往世的天堂。,1010,0,0
2204,1010,0,0,0,0,0,0,信仰派居民乙,而如今，邪恶的异教徒企图亵渎山脉之主的威严，愚蠢的异教徒只会灾难带给所有人！,1011,0,0
2204,1011,0,0,0,0,0,0,信仰派居民乙,我们要阻止他们，夺回属于山脉之主的土地！,1012,0,0
2204,1012,0,0,0,0,0,0,群众,捍卫山脉之主！捍卫山脉之主..........,1013,0,0
2204,1013,0,0,0,信仰派居民甲,0,0,0,0,1014,0,0
2204,1014,0,0,0,信仰派居民乙,0,0,0,众人兴致昂扬的一起喊着口号，逐渐没有继续和你讨论的兴趣。,-1,0,0
