演出id,IF,count,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string),赋值,GOTO 
2112,0,0,1001,山洞背景,0,0,0,0,0,0,虚弱的科拉佐斯无力支撑身体的状态，变回了人类状态。,1002,0,0,0,0
2112,0,0,1002,0,科拉佐斯,2,0,1,0,科拉佐斯,你，你不可能........,1003,怪物叫声,怪物叫声,0,0
2112,0,0,1003,0,0,0,0,0,0,科拉佐斯,我是高贵的鼠神化身，你一个人类哪里来的力量.........,1004,0,0,0,0
2112,0,0,1004,0,0,0,0,0,0,科拉佐斯,我好不容易从哪些家伙手上逃出来复活，我不能再这里........,1005,0,0,0,0
2112,0,0,1005,0,0,0,0,0,0,科拉佐斯,我会找到你的.....无论你在宇宙的那个地方，我都会找到你....,1006,0,0,0,0
2112,0,0,1006,0,0,0,0,0,0,科拉佐斯,难道，难道你是.....祂们，祂们还没有放过我........,1007,0,0,0,0
2112,0,0,1007,0,0,0,B,0,0,0,科拉佐斯的身体迅速崩溃，变成一地的老鼠尸体，从祂的头中滚出一个圆滚滚的荧光石,-1,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
