灯光助燃剂,101,1,1,3,001,0,0,1,1,0,8,使用后灯光值立刻+20，短时间内不会衰减,诸神宫殿中不可获取的生活品。,
“封存的灯火”,102,1,0,0,000,0,1,1,1,0,0,获得后，后续每次额外获得2灯光值。,某位神明最爱的限定版提灯装饰物。,
大力出奇迹,103,1,1,2,001,0,0,1,1,0,8,使用后靠近特殊墙壁可砸碎,山穷水复疑无路？大力一拳又一村！,
传送门,104,1,1,2,001,0,0,0,1,1,0,使用后有50%概率直接到达该层迷宫终点，也有50%概率回到起点。,既然要追求刺激，那就贯彻到底。,
除你武器！,201,2,1,3,010,0,1,1,1,0,6,使用后敌方陷入短暂眩晕。,西方神明中广为流传的一句咒语。,
燃血战神,202,2,1,2,010,0,1,1,1,0,6,生命值高于50%时，可扣除自身当前生命值的80%，使自身暴击率提升100%,某位战神最爱干的事。,
神愈术,203,2,1,2,010,0,1,1,1,0,0,使用后生命值回满。,谁不想拥有第二管血条呢？,
最强防御,204,2,1,2,010,0,1,1,1,0,12,使用后防御值短时间*1.5倍，在此期间暴击率归0。,不活着怎么输出！,
最强攻击,205,2,1,2,010,0,1,1,1,0,12,使用后力量短时间*1.5倍，在此期间防御值归0。,只要输出够强根本不用防御！,
最强闪避,206,2,1,2,010,0,1,1,1,0,12,使用后闪避短时间*1.8倍，在此期间受到的伤害*1.5倍。,只要不被打到就没事了！,
最强苟命王,207,2,1,2,010,0,1,1,1,0,12,使用后短时间内生命值冻结，技能结束前未结束战斗生命值归0。,只要不在敌人之前死就没事了！,
绝地反击,208,2,1,1,010,0,1,1,1,0,12,生命值低于20%时可使用，使用后短时间内暴击率提升100%、攻击*1.5倍。,现在是，我的回合！,
灯光up,301,3,0,0,000,0,1,1,1,0,0,获得后灯光值+20,看不见路怎么能前进呢。,
速！速！速！,302,3,1,3,001,1,0,1,1,0,10,使用后在迷宫内移动速度短时间翻倍。,神明也不喜欢迟到。,
精神恢复剂,303,3,1,1,111,1,0,0,99,0,0,使用后当前精神值+3,精神值太低可不是件好事。,
生命果实,401,4,1,3,010,0,1,1,1,0,12,生命值上限+10,万一就差这一点生命呢,
防御果实,402,4,1,3,010,0,1,0,1,0,12,防御值上限+10, 万一就差这一点防御呢,
攻击果实,403,2,1,3,010,0,1,0,1,0,18,使用后力量+20,某位神明掰手腕比赛的作弊利器。,
嫁衣,404,2,1,1,010,0,1,1,1,1,0,受到致命伤时使用，可抵消一次致命伤害,新娘的嫁衣,怪谈事件2011-选项2获得
回血药,501,5,1,1,111,1,0,0,99,0,0,当前生命值+5,很有用的药QOQ,
护身甲,502,5,0,0,000,0,1,1,1,0,0,获得后防御+10,因为怕死就全点防御！,
闪避,503,5,0,0,000,0,1,1,1,0,0,获得后闪避+10,因为怕死就全点闪避！,
重拳出击,504,5,0,0,000,0,1,1,1,0,0,获得后力量+10,路见不平，重拳出击！,
精神恍惚,505,5,0,0,000,0,1,1,1,0,0,获得后精神值上限-10,神明的恶作剧之一。,
木剑,506,5,0,0,000,0,1,1,1,0,0,获得后攻击+10,一把木剑,怪谈事件2002-选项1获得
宝剑,507,5,0,0,000,0,1,1,1,0,0,获得后攻击+40,一把宝剑,怪谈事件2002-选项2获得
神奇四面骰,508,5,1,3,111,0,0,1,1,1,0,使用后随机获得以下影响：精神值上限+20、精神值上限+10、精神值不变、精神值变为10,神明无聊时的玩具,
