灵魂余烬,101,1,0,3,001,1,1,0,1,0,8,使用后灯光值立刻+20，短时间内不会衰减,灵魂于黑暗中燃尽，希望自灯火中重生。,
封存的灯火,102,1,1,0,000,1,0,0,1,0,0,获得后，后续每次额外获得1灯光值。,与时间共生，永不熄灭。,
几何拳套,103,1,0,2,001,1,1,0,1,0,8,使用后靠近特殊墙壁可砸碎,不属于这个时代的产物，能轻松破除一切障碍。,
虚空之钥,104,1,0,2,001,1,1,0,1,1,0,使用后有50%概率直接到达该层迷宫终点，也有50%概率回到起点。,优格的赠礼，链接现实与虚空的钥匙。,
生命交响曲,301,3,1,0,000,1,0,0,1,0,0,获得后灯光值+20,纱布的赠礼，生命的乐章永不停息。,
死亡狂想曲,302,3,0,3,001,0,1,0,1,0,10,使用后在迷宫内移动速度短时间翻倍。,死亡的恐惧，总能激发【生命】的潜能。,
混沌血清,303,3,0,1,111,1,1,1,99,0,0,使用后当前精神值+3,精神值太低可不是件好事。,
生息果实,401,4,0,3,111,1,1,0,1,0,12,使用后生命+5，上限+5,无根之树的果实之一，万一就差这一点生命呢。,
极乐果实,402,4,0,3,111,1,0,0,1,0,12,使用后防御+5，上限+5, 无根之树的果实之一，万一就差这一点防御呢。,
混沌果实,403,2,0,3,111,1,0,0,1,0,18,使用后力量+5，上限+5,无根之树的果实之一，某位神明掰手腕比赛的作弊利器。,
梦境蜜露,501,5,0,1,111,0,1,1,99,0,0,当前生命值+5,梦境酿制的生命琼浆，每一口都能尝到不同的味道。,
枯木甲,502,5,1,0,000,1,0,0,1,0,0,获得后防御+10,枯木上刻着一行小字：因为怕死就全点了防御！,
魔术帽,503,5,1,0,000,1,0,0,1,0,0,获得后闪避+10,帽檐绣着一行小字：因为怕死就全点了闪避！,
巨神戒指,504,5,1,0,000,1,0,0,1,0,0,获得后力量+10,巨神的遗物，封存着凡人无法想象的力量。,
骨瓷人偶,505,5,1,0,000,1,0,0,1,0,0,获得后精神值上限-10,奈亚拉的赠礼，可爱但处处透露出诡异气息的人偶。,
木剑,506,5,1,0,000,1,0,0,1,0,0,获得后攻击+10,一把平平无奇的木剑。,怪谈事件2002-选项1获得
宝剑,507,5,1,0,000,1,0,0,1,0,0,获得后攻击+40,不断流出绿色液体的宝剑，令人感到不安。,怪谈事件2002-选项2获得
悖论骰,508,5,0,3,111,1,0,0,1,1,0,使用后随机获得以下影响：精神值上限+20、精神值上限+10、精神值不变、精神值变为10,命运的轮回，在骰子掷出的那一刻就已敲定。,
丰饶降临,611,2,1,0,000,1,0,0,1,1,0,获得本道具后，处于装备状态的所有怪谈装备当前耐久度及其上限+1,丰饶降临人间，万家喜得肉食。,
繁育心神,612,2,1,0,000,1,0,0,1,1,0,获得本道具后，处于未装备状态的随机3件装备耐久度及其上限+3,来源于生物最原始的欲望之一。,
虚空的祝福,613,2,0,2,111,1,1,0,1,0,0,使用后：当前生命值+100，防御+10,未知的祝福，真的就是好事吗？,
透视黑暗之眼,614,2,0,1,111,1,1,0,1,0,0,使用后：当前灯光值与生命值以及他们的上限+50。,看不透黑暗也是一种幸运。,
惊喜盒子,615,2,1,0,000,1,0,0,1,0,0,持有该道具时：每次战斗胜利后随机获得2件怪谈道具。,每次打开都有不同的惊喜。,读取对应的奖励表格（跟宝箱产出表一致）
祂的一撇,616,2,1,0,000,1,0,0,1,0,0,持有该道具时：进入下一层关卡以及安全屋后，当前力量/防御/速度以及其上限随机一项属性+10,祂投来了一撇，不知道在打什么主意。,
